,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
435,15999,2410,1,0,2019,1,150,53.3,1.0,0
436,12999,8732,1,1,2019,1,145,58.9,1.0,0
437,12999,9307,1,1,2019,1,145,58.9,1.0,0
438,14199,6335,0,1,2019,1,145,48.7,1.0,0
439,8299,36711,1,0,2016,0,30,64.2,1.5,2
440,14399,6967,0,1,2019,1,145,48.7,1.0,0
441,8799,10380,1,1,2016,1,0,65.7,1.0,0
442,8200,21731,1,1,2016,1,0,65.7,1.0,0
443,10800,40000,1,2,2017,0,0,74.3,1.5,2
444,11200,14341,1,2,2017,0,0,74.3,1.5,0
445,10700,26715,1,2,2017,1,150,60.1,1.0,2
446,9800,27861,1,2,2016,1,20,60.1,1.0,2
447,10500,6693,0,2,2015,1,165,44.8,1.6,0
448,6900,37052,1,1,2017,1,125,54.3,1.2,2
449,8700,31399,1,1,2015,1,0,65.7,1.0,2
450,15999,183,1,1,2020,1,150,55.4,1.0,0
451,16799,433,0,0,2019,1,150,45.6,1.0,0
452,11999,6150,1,1,2018,1,150,65.7,1.0,0
453,8999,40561,1,1,2017,1,20,62.8,1.0,2
454,10200,12427,1,2,2016,1,20,61.4,1.0,0
455,15900,30884,1,2,2017,0,20,67.3,2.0,2
456,10100,38638,1,2,2016,0,0,74.3,1.5,2
457,10800,15903,0,2,2016,1,125,51.4,1.0,0
458,9850,19243,0,0,2016,1,160,44.8,1.5,0
459,10000,24891,1,0,2017,1,125,52.3,1.0,2
460,8400,36701,1,0,2016,1,125,53.3,1.0,2
461,10500,11896,1,0,2017,1,125,52.3,1.0,0
462,7800,29512,1,1,2016,1,0,65.7,1.0,2
463,7900,29326,1,1,2016,1,0,65.7,1.0,2
464,9100,38379,1,2,2015,0,0,74.3,1.5,2
465,7500,44264,1,1,2016,1,0,65.7,1.0,2
466,8200,29529,1,1,2016,1,0,65.7,1.0,2
467,8700,12110,1,1,2016,1,0,65.7,1.0,0
468,8900,35500,1,1,2016,1,20,62.8,1.0,2
469,7995,41589,1,1,2017,1,145,65.7,1.0,2
470,9995,24826,1,1,2017,1,150,65.7,1.0,2
471,10295,46713,1,2,2017,1,20,60.1,1.0,2
472,10995,24449,1,2,2017,1,150,60.1,1.0,0
473,7900,14175,1,1,2014,1,0,65.7,1.0,0
474,9450,8724,1,0,2017,1,150,52.3,1.0,0
